GRAVITY 0 -9.3 0
LIGHTING true true 0.65 -0.45 0.68 1 1 1 2.6 0.1
DISABLED_SCRIPT scripts/attributeTest.aeo
DISABLED_SCRIPT scripts/cellNew.aeo
BLOCK 67164933 -3 17 1 true true true ground 0.5 0.5 0.5 None true
BLOCK 14661944 -8 17 -5 true true true ground 0.5 0.5 0.5 None true
BLOCK 39259005 -4 17 -4 true true true ground 0.5 0.5 0.5 None true
BLOCK 89467958 -8 17 -6 true true true ground 0.5 0.5 0.5 None true
BLOCK 39333019 0 17 -2 true true true brick 0.5 0.5 0.5 None true
BLOCK 86773460 -5 18 4 true true true Block_tx 0.0075797234 0.49309596 0.5211065 AeoScriptTestBlock2 true
BLOCK 79970053 -3 17 0 true true true ground 0.5 0.5 0.5 None true
BLOCK 35456722 -10 17 5 true true true ground 0.5 0.5 0.5 None true
BLOCK 59148875 -2 17 0 true true true ground 0.5 0.5 0.5 None true
BLOCK 15397064 -3 17 -1 true true true ground 0.5 0.5 0.5 None true
BLOCK 73496039 -3 17 -2 true true true ground 0.5 0.5 0.5 None true
BLOCK 21103506 -5 17 5 true true true ground 0.5 0.5 0.5 None true
BLOCK 57077532 -4 17 0 true true true ground 0.5 0.5 0.5 None true
BLOCK 79382383 -10 17 1 true true true ground 0.5 0.5 0.5 None true
BLOCK 19266245 -4 17 5 true true true ground 0.5 0.5 0.5 None true
BLOCK 21153413 -10 17 -3 true true true ground 0.5 0.5 0.5 None true
BLOCK 96398098 -6 17 -1 true true true ground 0.5 0.5 0.5 None true
BLOCK 99280186 -2 17 2 true true true ground 0.5 0.5 0.5 None true
BLOCK 38593597 -7 17 1 true true true ground 0.5 0.5 0.5 None true
BLOCK 29179726 0 17 -5 true true true brick 0.5 0.5 0.5 None true
BLOCK 26983345 -2 17 -6 true true true ground 0.5 0.5 0.5 None true
BLOCK 54601505 -6 17 -4 true true true ground 0.5 0.5 0.5 None true
BLOCK 90579723 0 17 2 true true true brick 0.5 0.5 0.5 None true
BLOCK 26475172 -7 17 -1 true true true ground 0.5 0.5 0.5 None true
BLOCK 24576528 -11 17 -1 true true true brick 0.5 0.5 0.5 None true
BLOCK 95288178 0 17 6 true true true brick 0.5 0.5 0.5 None true
